# freq 	 sqrt(Sn)
3.171301e+01	1.722840e-25
3.178614e+01	1.722071e-25
3.185944e+01	1.721306e-25
3.193291e+01	1.720545e-25
3.200654e+01	1.719789e-25
3.208035e+01	1.719036e-25
3.215433e+01	1.718288e-25
3.222848e+01	1.717543e-25
3.230279e+01	1.716803e-25
3.237729e+01	1.716066e-25
3.245195e+01	1.715334e-25
3.252678e+01	1.714605e-25
3.260179e+01	1.713880e-25
3.267697e+01	1.713159e-25
3.275232e+01	1.712442e-25
3.282785e+01	1.711729e-25
3.290355e+01	1.711019e-25
3.297943e+01	1.710313e-25
3.305548e+01	1.709611e-25
3.313170e+01	1.708913e-25
3.320811e+01	1.708218e-25
3.328468e+01	1.707527e-25
3.336144e+01	1.706839e-25
3.343837e+01	1.706155e-25
3.351548e+01	1.705474e-25
3.359277e+01	1.704798e-25
3.367023e+01	1.704124e-25
3.374788e+01	1.703454e-25
3.382570e+01	1.702788e-25
3.390370e+01	1.702125e-25
3.398188e+01	1.701465e-25
3.406025e+01	1.700809e-25
3.413879e+01	1.700156e-25
3.421751e+01	1.699507e-25
3.429642e+01	1.698861e-25
3.437551e+01	1.698218e-25
3.445478e+01	1.697578e-25
3.453423e+01	1.696942e-25
3.461386e+01	1.696309e-25
3.469369e+01	1.695679e-25
3.477369e+01	1.695052e-25
3.485388e+01	1.694429e-25
3.493425e+01	1.693809e-25
3.501481e+01	1.693191e-25
3.509555e+01	1.692577e-25
3.517648e+01	1.691966e-25
3.525760e+01	1.691359e-25
3.533891e+01	1.690754e-25
3.542040e+01	1.690152e-25
3.550208e+01	1.689553e-25
3.558394e+01	1.688958e-25
3.566600e+01	1.688365e-25
3.574825e+01	1.687775e-25
3.583068e+01	1.687188e-25
3.591331e+01	1.686604e-25
3.599613e+01	1.686023e-25
3.607913e+01	1.685445e-25
3.616233e+01	1.684869e-25
3.624572e+01	1.684297e-25
3.632931e+01	1.683727e-25
3.641308e+01	1.683161e-25
3.649705e+01	1.682597e-25
3.658121e+01	1.682035e-25
3.666557e+01	1.681477e-25
3.675012e+01	1.680921e-25
3.683487e+01	1.680368e-25
